commodity_label,commodity_name,feature,coefficient,abs_coefficient
Brent_Crude,BRENT CRUDE,own_realised_vol_60d,0.007722104065255067,0.007722104065255067
Brent_Crude,BRENT CRUDE,fx_rr_level,-0.007320290303573543,0.007320290303573543
Brent_Crude,BRENT CRUDE,own_drawdown_from_63d_high,0.00724462170368649,0.00724462170368649
Brent_Crude,BRENT CRUDE,easi_global_chg_21d,-0.005643318481425438,0.005643318481425438
Brent_Crude,BRENT CRUDE,own_realised_vol_21d,0.0055113380416806634,0.0055113380416806634
Brent_Crude,BRENT CRUDE,credit_ig_chg_21d,-0.005458758451020936,0.005458758451020936
Brent_Crude,BRENT CRUDE,credit_ig_level,0.005324446715820883,0.005324446715820883
Brent_Crude,BRENT CRUDE,credit_hy_minus_ig,-0.005090265761597026,0.005090265761597026
Brent_Crude,BRENT CRUDE,global_equity_ret_21d,0.004972856381741907,0.004972856381741907
Brent_Crude,BRENT CRUDE,eur_1m_forward_chg_21d,0.004952591345503458,0.004952591345503458
Brent_Crude,BRENT CRUDE,aux_CO1_COMDTY_vol_21d,0.004728532097901146,0.004728532097901146
Brent_Crude,BRENT CRUDE,credit_hy_chg_21d,0.0045792340853588655,0.0045792340853588655
Brent_Crude,BRENT CRUDE,aux_XAU_CURNCY_vol_21d,-0.004384728961709361,0.004384728961709361
Brent_Crude,BRENT CRUDE,easi_global_level,0.004263613391948984,0.004263613391948984
Brent_Crude,BRENT CRUDE,global_10y_level,0.004251770987736623,0.004251770987736623
Brent_Crude,BRENT CRUDE,credit_hy_level,-0.004187684117908624,0.004187684117908624
Brent_Crude,BRENT CRUDE,global_10y_chg_21d,0.003798389816226054,0.003798389816226054
Brent_Crude,BRENT CRUDE,own_drawdown_from_252d_high,0.0033897282096742387,0.0033897282096742387
Brent_Crude,BRENT CRUDE,own_ret_21d,0.00314779395409811,0.00314779395409811
Brent_Crude,BRENT CRUDE,own_vol_ratio_21d_60d,-0.0028765373636102983,0.0028765373636102983
Brent_Crude,BRENT CRUDE,imm_positioning_chg_21d,0.0027643539034771705,0.0027643539034771705
Brent_Crude,BRENT CRUDE,fx_rr_chg_21d,-0.0024916367263687314,0.0024916367263687314
Brent_Crude,BRENT CRUDE,own_ret_252d,0.002208577084383176,0.002208577084383176
Brent_Crude,BRENT CRUDE,aux_XAU_CURNCY_ret_21d,-0.0021806534537456746,0.0021806534537456746
Brent_Crude,BRENT CRUDE,own_ret_63d,0.001992039614379768,0.001992039614379768
Brent_Crude,BRENT CRUDE,us_10y_chg_21d,-0.001865006007467915,0.001865006007467915
Brent_Crude,BRENT CRUDE,commodity_market_vol_60d,0.0018237602809789294,0.0018237602809789294
Brent_Crude,BRENT CRUDE,commodity_market_ret_21d,0.001784456168046086,0.001784456168046086
Brent_Crude,BRENT CRUDE,aux_CO1_COMDTY_ret_21d,0.0017589099994529723,0.0017589099994529723
Brent_Crude,BRENT CRUDE,fx_atm_vol_level,0.0015261318413267969,0.0015261318413267969
Brent_Crude,BRENT CRUDE,spx_realised_vol_60d,0.001512167756602594,0.001512167756602594
Brent_Crude,BRENT CRUDE,spx_realised_vol_21d,-0.0014642097073883499,0.0014642097073883499
Brent_Crude,BRENT CRUDE,usd_strength_ret_21d,-0.0013327873009731537,0.0013327873009731537
Brent_Crude,BRENT CRUDE,eur_1m_forward_level,-0.0012077326965505655,0.0012077326965505655
Brent_Crude,BRENT CRUDE,us_10y_level,0.0011321885570260146,0.0011321885570260146
Brent_Crude,BRENT CRUDE,us_3m_rate_level,0.001096131821272734,0.001096131821272734
Brent_Crude,BRENT CRUDE,em_fx_stress_ret_21d,0.0010854077203345986,0.0010854077203345986
Brent_Crude,BRENT CRUDE,own_ret_5d,0.000881935454331062,0.000881935454331062
Brent_Crude,BRENT CRUDE,us_curve_10y_minus_3m,-0.0005748826295990342,0.0005748826295990342
Brent_Crude,BRENT CRUDE,commodity_fx_strength_ret_21d,0.0004652149739251232,0.0004652149739251232
Natural_Gas,NATURAL GAS,easi_global_level,0.014087304495404861,0.014087304495404861
Natural_Gas,NATURAL GAS,own_ret_252d,-0.007846026058217739,0.007846026058217739
Natural_Gas,NATURAL GAS,own_realised_vol_21d,-0.007519819958179293,0.007519819958179293
Natural_Gas,NATURAL GAS,commodity_market_vol_60d,-0.007462712532178766,0.007462712532178766
Natural_Gas,NATURAL GAS,imm_positioning_chg_21d,-0.007152676496323475,0.007152676496323475
Natural_Gas,NATURAL GAS,aux_XAU_CURNCY_vol_21d,-0.006806991211149132,0.006806991211149132
Natural_Gas,NATURAL GAS,fx_rr_level,-0.006527935008858099,0.006527935008858099
Natural_Gas,NATURAL GAS,aux_CO1_COMDTY_ret_21d,-0.006066853832728394,0.006066853832728394
Natural_Gas,NATURAL GAS,own_realised_vol_60d,-0.005918400688697946,0.005918400688697946
Natural_Gas,NATURAL GAS,own_ret_21d,-0.005883313843602946,0.005883313843602946
Natural_Gas,NATURAL GAS,aux_CO1_COMDTY_vol_21d,-0.005207732039833866,0.005207732039833866
Natural_Gas,NATURAL GAS,spx_realised_vol_60d,-0.00468713293785941,0.00468713293785941
Natural_Gas,NATURAL GAS,credit_hy_minus_ig,0.004402752187275716,0.004402752187275716
Natural_Gas,NATURAL GAS,credit_hy_level,0.0043969748349322706,0.0043969748349322706
Natural_Gas,NATURAL GAS,credit_ig_level,-0.004385157674168144,0.004385157674168144
Natural_Gas,NATURAL GAS,aux_XAU_CURNCY_ret_21d,0.004062177277010494,0.004062177277010494
Natural_Gas,NATURAL GAS,global_10y_chg_21d,0.004032463830921675,0.004032463830921675
Natural_Gas,NATURAL GAS,commodity_fx_strength_ret_21d,-0.003888498745303883,0.003888498745303883
Natural_Gas,NATURAL GAS,usd_strength_ret_21d,0.003878780090553625,0.003878780090553625
Natural_Gas,NATURAL GAS,commodity_market_ret_21d,-0.003474348200617246,0.003474348200617246
Natural_Gas,NATURAL GAS,imm_positioning_level,0.0033272023638963462,0.0033272023638963462
Natural_Gas,NATURAL GAS,eur_1m_forward_chg_21d,-0.003266826674360532,0.003266826674360532
