Date,EUR1M BGN Curncy
2013-04-09,1.308552
2013-04-10,1.307251
2013-04-11,1.310145
2013-04-12,1.311551
2013-04-15,1.303845
2013-04-16,1.31796
2013-04-17,1.303456
2013-04-18,1.305348
2013-04-19,1.30544
2013-04-22,1.306844
2013-04-23,1.299873
2013-04-24,1.301759
2013-04-25,1.301343
2013-04-26,1.303261
2013-04-29,1.310168
2013-04-30,1.317058
2013-05-01,1.318262
2013-05-02,1.306754
2013-05-03,1.311641
2013-05-06,1.307858
2013-05-07,1.308146
2013-05-08,1.315532
2013-05-09,1.304528
2013-05-10,1.299122
2013-05-13,1.297742
2013-05-14,1.292238
2013-05-15,1.288933
2013-05-16,1.288439
2013-05-17,1.284138
2013-05-20,1.288433
2013-05-21,1.290827
2013-05-22,1.286016
2013-05-23,1.293613
2013-05-24,1.293407
2013-05-27,1.293301
2013-05-28,1.2858
2013-05-29,1.294301
2013-05-30,1.305207
2013-05-31,1.300107
2013-06-03,1.307797
2013-06-04,1.308313
2013-06-05,1.309507
2013-06-06,1.324796
2013-06-07,1.322004
2013-06-10,1.325906
2013-06-11,1.331519
2013-06-12,1.33391
2013-06-13,1.337702
2013-06-14,1.33489
2013-06-17,1.336887
2013-06-18,1.339399
2013-06-19,1.329693
2013-06-20,1.322189
2013-06-21,1.312388
2013-06-24,1.312182
2013-06-25,1.307874
2013-06-26,1.301333
2013-06-27,1.303963
2013-06-28,1.301161
2013-07-01,1.306554
2013-07-02,1.298044
2013-07-03,1.301061
2013-07-04,1.291562
2013-07-05,1.283053
2013-07-08,1.287148
2013-07-09,1.278246
2013-07-10,1.297947
2013-07-11,1.30985
2013-07-12,1.306864
2013-07-15,1.30638
2013-07-16,1.316368
2013-07-17,1.312651
2013-07-18,1.311045
2013-07-19,1.314442
2013-07-22,1.318749
2013-07-23,1.322451
2013-07-24,1.320243
2013-07-25,1.327841
2013-07-26,1.328033
2013-07-29,1.326338
2013-07-30,1.326442
2013-07-31,1.330336
2013-08-01,1.320835
2013-08-02,1.327739
2013-08-05,1.325941
2013-08-06,1.330634
2013-08-07,1.333728
2013-08-08,1.338225
2013-08-09,1.334334
2013-08-12,1.330151
2013-08-13,1.326451
2013-08-14,1.32565
2013-08-15,1.334848
2013-08-16,1.333047
2013-08-19,1.333654
2013-08-20,1.341857
2013-08-21,1.335652
2013-08-22,1.335753
2013-08-23,1.338454
2013-08-26,1.336962
2013-08-27,1.339451
2013-08-28,1.334139
2013-08-29,1.324233
2013-08-30,1.322327
2013-09-02,1.319329
2013-09-03,1.317137
2013-09-04,1.320837
2013-09-05,1.312138
2013-09-06,1.317934
2013-09-09,1.325627
2013-09-10,1.326928
2013-09-11,1.331217
2013-09-12,1.330017
2013-09-13,1.329516
2013-09-16,1.333515
2013-09-17,1.33603
2013-09-18,1.352228
2013-09-19,1.353108
2013-09-20,1.352501
2013-09-23,1.349396
2013-09-24,1.347474
2013-09-25,1.352678
2013-09-26,1.349001
2013-09-27,1.352303
2013-09-30,1.35281
2013-10-01,1.352697
