Date,IMMBENCN Index,IMMBENCN Index.1,IMM6ANCN Index,IMM6MNCN Index,IMMPFNCN Index,IMM3CNCN Index,IMM6ZNCN Index,IMM4SNCN Index
2006-04-07,52392.0,52392.0,-5850.0,-3206.0,49364.0,-4146.0,388.0,-38128.0
2006-04-10,52392.0,52392.0,-5850.0,-3206.0,49364.0,-4146.0,388.0,-38128.0
2006-04-11,52392.0,52392.0,-5850.0,-3206.0,49364.0,-4146.0,388.0,-38128.0
2006-04-12,52392.0,52392.0,-5850.0,-3206.0,49364.0,-4146.0,388.0,-38128.0
2006-04-13,52392.0,52392.0,-5850.0,-3206.0,49364.0,-4146.0,388.0,-38128.0
2006-04-14,41630.0,41630.0,6937.0,-4624.0,36975.0,13942.0,2336.0,-28651.0
2006-04-17,41630.0,41630.0,6937.0,-4624.0,36975.0,13942.0,2336.0,-28651.0
2006-04-18,41630.0,41630.0,6937.0,-4624.0,36975.0,13942.0,2336.0,-28651.0
2006-04-19,41630.0,41630.0,6937.0,-4624.0,36975.0,13942.0,2336.0,-28651.0
2006-04-20,41630.0,41630.0,6937.0,-4624.0,36975.0,13942.0,2336.0,-28651.0
2006-04-21,55342.0,55342.0,11161.0,-6967.0,52373.0,6918.0,4472.0,-22168.0
2006-04-24,55342.0,55342.0,11161.0,-6967.0,52373.0,6918.0,4472.0,-22168.0
2006-04-25,55342.0,55342.0,11161.0,-6967.0,52373.0,6918.0,4472.0,-22168.0
2006-04-26,55342.0,55342.0,11161.0,-6967.0,52373.0,6918.0,4472.0,-22168.0
2006-04-27,55342.0,55342.0,11161.0,-6967.0,52373.0,6918.0,4472.0,-22168.0
2006-04-28,65525.0,65525.0,7757.0,-13050.0,61916.0,15623.0,4808.0,-24429.0
2006-05-01,65525.0,65525.0,7757.0,-13050.0,61916.0,15623.0,4808.0,-24429.0
2006-05-02,65525.0,65525.0,7757.0,-13050.0,61916.0,15623.0,4808.0,-24429.0
2006-05-03,65525.0,65525.0,7757.0,-13050.0,61916.0,15623.0,4808.0,-24429.0
2006-05-04,65525.0,65525.0,7757.0,-13050.0,61916.0,15623.0,4808.0,-24429.0
2006-05-05,74474.0,74474.0,21773.0,-6657.0,71459.0,32152.0,6203.0,-12629.0
2006-05-08,74474.0,74474.0,21773.0,-6657.0,71459.0,32152.0,6203.0,-12629.0
2006-05-09,74474.0,74474.0,21773.0,-6657.0,71459.0,32152.0,6203.0,-12629.0
2006-05-10,74474.0,74474.0,21773.0,-6657.0,71459.0,32152.0,6203.0,-12629.0
2006-05-11,74474.0,74474.0,21773.0,-6657.0,71459.0,32152.0,6203.0,-12629.0
2006-05-12,72911.0,72911.0,28854.0,-3305.0,69099.0,28873.0,6886.0,-11013.0
2006-05-15,72911.0,72911.0,28854.0,-3305.0,69099.0,28873.0,6886.0,-11013.0
2006-05-16,72911.0,72911.0,28854.0,-3305.0,69099.0,28873.0,6886.0,-11013.0
2006-05-17,72911.0,72911.0,28854.0,-3305.0,69099.0,28873.0,6886.0,-11013.0
2006-05-18,72911.0,72911.0,28854.0,-3305.0,69099.0,28873.0,6886.0,-11013.0
2006-05-19,73376.0,73376.0,30585.0,-11072.0,69596.0,19528.0,7366.0,-1581.0
2006-05-22,73376.0,73376.0,30585.0,-11072.0,69596.0,19528.0,7366.0,-1581.0
2006-05-23,73376.0,73376.0,30585.0,-11072.0,69596.0,19528.0,7366.0,-1581.0
2006-05-24,73376.0,73376.0,30585.0,-11072.0,69596.0,19528.0,7366.0,-1581.0
2006-05-25,73376.0,73376.0,30585.0,-11072.0,69596.0,19528.0,7366.0,-1581.0
2006-05-26,72076.0,72076.0,16310.0,-18521.0,67647.0,15702.0,7267.0,8382.0
2006-05-29,72076.0,72076.0,16310.0,-18521.0,67647.0,15702.0,7267.0,8382.0
2006-05-30,72076.0,72076.0,16310.0,-18521.0,67647.0,15702.0,7267.0,8382.0
2006-05-31,72076.0,72076.0,16310.0,-18521.0,67647.0,15702.0,7267.0,8382.0
2006-06-01,72076.0,72076.0,16310.0,-18521.0,67647.0,15702.0,7267.0,8382.0
2006-06-02,79884.0,79884.0,26788.0,-28860.0,75965.0,31707.0,2828.0,10531.0
2006-06-05,79884.0,79884.0,26788.0,-28860.0,75965.0,31707.0,2828.0,10531.0
2006-06-06,79884.0,79884.0,26788.0,-28860.0,75965.0,31707.0,2828.0,10531.0
2006-06-07,79884.0,79884.0,26788.0,-28860.0,75965.0,31707.0,2828.0,10531.0
2006-06-08,79884.0,79884.0,26788.0,-28860.0,75965.0,31707.0,2828.0,10531.0
2006-06-09,88196.0,88196.0,13918.0,-27896.0,83064.0,22862.0,2158.0,9320.0
2006-06-12,88196.0,88196.0,13918.0,-27896.0,83064.0,22862.0,2158.0,9320.0
2006-06-13,88196.0,88196.0,13918.0,-27896.0,83064.0,22862.0,2158.0,9320.0
2006-06-14,88196.0,88196.0,13918.0,-27896.0,83064.0,22862.0,2158.0,9320.0
2006-06-15,88196.0,88196.0,13918.0,-27896.0,83064.0,22862.0,2158.0,9320.0
2006-06-16,61846.0,61846.0,11952.0,-26231.0,60870.0,33351.0,2313.0,-2882.0
2006-06-19,61846.0,61846.0,11952.0,-26231.0,60870.0,33351.0,2313.0,-2882.0
2006-06-20,61846.0,61846.0,11952.0,-26231.0,60870.0,33351.0,2313.0,-2882.0
2006-06-21,61846.0,61846.0,11952.0,-26231.0,60870.0,33351.0,2313.0,-2882.0
2006-06-22,61846.0,61846.0,11952.0,-26231.0,60870.0,33351.0,2313.0,-2882.0
2006-06-23,52490.0,52490.0,-2412.0,-29043.0,51945.0,23978.0,2313.0,-5472.0
2006-06-26,52490.0,52490.0,-2412.0,-29043.0,51945.0,23978.0,2313.0,-5472.0
2006-06-27,52490.0,52490.0,-2412.0,-29043.0,51945.0,23978.0,2313.0,-5472.0
2006-06-28,52490.0,52490.0,-2412.0,-29043.0,51945.0,23978.0,2313.0,-5472.0
2006-06-29,52490.0,52490.0,-2412.0,-29043.0,51945.0,23978.0,2313.0,-5472.0
2006-06-30,64670.0,64670.0,2706.0,-27818.0,64466.0,30309.0,2313.0,-15889.0
2006-07-03,64670.0,64670.0,2706.0,-27818.0,64466.0,30309.0,2313.0,-15889.0
2006-07-04,64670.0,64670.0,2706.0,-27818.0,64466.0,30309.0,2313.0,-15889.0
2006-07-05,64670.0,64670.0,2706.0,-27818.0,64466.0,30309.0,2313.0,-15889.0
2006-07-06,64670.0,64670.0,2706.0,-27818.0,64466.0,30309.0,2313.0,-15889.0
2006-07-07,68545.0,68545.0,5061.0,-11636.0,70358.0,36447.0,2313.0,-4314.0
2006-07-10,68545.0,68545.0,5061.0,-11636.0,70358.0,36447.0,2313.0,-4314.0
2006-07-11,68545.0,68545.0,5061.0,-11636.0,70358.0,36447.0,2313.0,-4314.0
2006-07-12,68545.0,68545.0,5061.0,-11636.0,70358.0,36447.0,2313.0,-4314.0
2006-07-13,68545.0,68545.0,5061.0,-11636.0,70358.0,36447.0,2313.0,-4314.0
2006-07-14,77895.0,77895.0,16936.0,-4357.0,78580.0,11621.0,-943.0,-7259.0
2006-07-17,77895.0,77895.0,16936.0,-4357.0,78580.0,11621.0,-943.0,-7259.0
2006-07-18,77895.0,77895.0,16936.0,-4357.0,78580.0,11621.0,-943.0,-7259.0
2006-07-19,77895.0,77895.0,16936.0,-4357.0,78580.0,11621.0,-943.0,-7259.0
2006-07-20,77895.0,77895.0,16936.0,-4357.0,78580.0,11621.0,-943.0,-7259.0
2006-07-21,51694.0,51694.0,28215.0,6426.0,50061.0,9284.0,3568.0,-15417.0
2006-07-24,51694.0,51694.0,28215.0,6426.0,50061.0,9284.0,3568.0,-15417.0
2006-07-25,51694.0,51694.0,28215.0,6426.0,50061.0,9284.0,3568.0,-15417.0
2006-07-26,51694.0,51694.0,28215.0,6426.0,50061.0,9284.0,3568.0,-15417.0
2006-07-27,51694.0,51694.0,28215.0,6426.0,50061.0,9284.0,3568.0,-15417.0
2006-07-28,50301.0,50301.0,33392.0,8071.0,49856.0,-5419.0,5445.0,-20960.0
2006-07-31,50301.0,50301.0,33392.0,8071.0,49856.0,-5419.0,5445.0,-20960.0
2006-08-01,50301.0,50301.0,33392.0,8071.0,49856.0,-5419.0,5445.0,-20960.0
2006-08-02,50301.0,50301.0,33392.0,8071.0,49856.0,-5419.0,5445.0,-20960.0
2006-08-03,50301.0,50301.0,33392.0,8071.0,49856.0,-5419.0,5445.0,-20960.0
2006-08-04,73429.0,73429.0,38113.0,17675.0,75802.0,-7416.0,8203.0,-9394.0
2006-08-07,73429.0,73429.0,38113.0,17675.0,75802.0,-7416.0,8203.0,-9394.0
2006-08-08,73429.0,73429.0,38113.0,17675.0,75802.0,-7416.0,8203.0,-9394.0
2006-08-09,73429.0,73429.0,38113.0,17675.0,75802.0,-7416.0,8203.0,-9394.0
2006-08-10,73429.0,73429.0,38113.0,17675.0,75802.0,-7416.0,8203.0,-9394.0
2006-08-11,92108.0,92108.0,33057.0,21909.0,93942.0,9830.0,6945.0,-14853.0
2006-08-14,92108.0,92108.0,33057.0,21909.0,93942.0,9830.0,6945.0,-14853.0
2006-08-15,92108.0,92108.0,33057.0,21909.0,93942.0,9830.0,6945.0,-14853.0
2006-08-16,92108.0,92108.0,33057.0,21909.0,93942.0,9830.0,6945.0,-14853.0
2006-08-17,92108.0,92108.0,33057.0,21909.0,93942.0,9830.0,6945.0,-14853.0
2006-08-18,90204.0,90204.0,39092.0,35634.0,91378.0,8597.0,13262.0,-15247.0
2006-08-21,90204.0,90204.0,39092.0,35634.0,91378.0,8597.0,13262.0,-15247.0
2006-08-22,90204.0,90204.0,39092.0,35634.0,91378.0,8597.0,13262.0,-15247.0
2006-08-23,90204.0,90204.0,39092.0,35634.0,91378.0,8597.0,13262.0,-15247.0
2006-08-24,90204.0,90204.0,39092.0,35634.0,91378.0,8597.0,13262.0,-15247.0
